Jumper	Player	Grade	DOB	Age	Height	Weight	Games_Prior	Goals_Prior	Coach_Votes_Prior	Blow_Votes_Prior	Games_2026	Goals_2026	Coach_Votes_2026	Blow_Votes_2026	Games_Total	Goals_Total	Coach_Votes_Total	Blow_Votes_Total	Original_Club	Drafted	Honours
1	Harry Morrison	C+	12 Nov 98	27yr	182cm	73kg	123	30	9	0	1	0	0	0	124	30	9	0	Benalla/Murray U18	#74 National 2016	
2	Mitch Lewis	B	14 Oct 98	27yr	198cm	92kg	78	133	40	4	4	4	0	0	82	137	40	4	Wallan/Whittlesea/Calder U18	#76 National 2016	
3	Jai Newcombe	A	8 Feb 01	25yr	186cm	85kg	102	43	220	70	4	2	10	0	106	45	230	70	Poowong/Gippsland U18/Box Hill	#2 Mid-Season 2020	B&F: 2024; AFLCA Young: 2022; AA40: 2023
4	Jarman Impey	B	9 Jul 95	30yr	178cm	76kg	221	68	99	10	4	0	8	0	225	68	107	10	Shepparton FC/Shepparton Swans/Murray U18	#21 National 2013	
5	Nick Watson	B	24 Feb 05	21yr	170cm	68kg	43	61	14	0	4	10	12	0	47	71	26	0	East Ringwood/Caulfield Grammar/Eastern U18	#5 National 2023	
6	James Sicily	A	6 Jan 95	31yr	186cm	77kg	179	76	306	52	4	0	3	0	183	76	309	52	Keilor/Western U18/Williamstown	#56 National 2013	AA: 2023; B&F: 2022; AA40: 2019, 2022, 2024
7	Ned Reeves	C+	31 Oct 98	27yr	208cm	96kg	43	11	5	0	3	2	0	0	46	13	5	0	East Malvern/St Kevin's College/Oakleigh U18	SSP 2018	
8	Dylan Moore	A	4 Aug 99	26yr	176cm	66kg	126	133	152	17	4	4	6	0	130	137	158	17	Rowville/Caulfield Grammar/Eastern U18	#67 National 2017	AA: 2024
9	Connor Macdonald	B	13 Jan 03	23yr	185cm	83kg	90	71	37	1	4	2	7	0	94	73	44	1	Doveton FC/Haileybury College/Dandenong U18	#26 National 2021	
10	Karl Amon	B+	19 Aug 95	30yr	181cm	71kg	195	72	132	35	3	0	0	0	198	72	132	35	East Sandringham/Hampton Rovers/Haileybury College/Sandringham U18	#68 National 2013	AA40: 2021
