"player","position","round","distance_m","hs_dist","sprints","player_load","max_vel","m_per_min","accels","decels","hmld","field_min","activity_id","athlete_id","period_id"
"Jack Ginnivan","Hybrid","Round 05 v Western Bulldogs","3477.10693","334.04999","9","337.94733","7.77967","128.87641","48","0","1274.16003","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","020880cf-4cc3-45b8-ade5-ced73183435f","96317651-73ea-4189-ad56-b300436c77bf"
"Jack Ginnivan","Hybrid","Round 05 v Western Bulldogs","3353.57983","274.08","7","315.9393","8.33266","132.43304","41","0","1242.29004","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","020880cf-4cc3-45b8-ade5-ced73183435f","1eca8998-ad85-4884-b58b-cec022a7d190"
"Jack Ginnivan","Hybrid","Round 05 v Western Bulldogs","3666.50195","360.54001","9","349.62073","7.36431","134.76071","56","0","1207.37","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","020880cf-4cc3-45b8-ade5-ced73183435f","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"Jack Ginnivan","Hybrid","Round 05 v Western Bulldogs","3266.54761","275.34999999999997","6","320.66748","7.4401","124.92613","39","0","1075.46997","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","020880cf-4cc3-45b8-ade5-ced73183435f","409a7b10-d9b7-499a-8400-9b4d84931b66"
"Jack Gunston","Forward","Round 05 v Western Bulldogs","2830.78223","219.58999999999997","5","265.04794","7.03407","114.97508","40","0","939.79999","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","0325dfcd-afd9-4feb-9006-dd13f41ca9e6","96317651-73ea-4189-ad56-b300436c77bf"
"Jack Gunston","Forward","Round 05 v Western Bulldogs","2927.21777","103.96000000000001","3","277.01889","7.34599","107.65326","32","0","1076.45996","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","0325dfcd-afd9-4feb-9006-dd13f41ca9e6","1eca8998-ad85-4884-b58b-cec022a7d190"
"Jack Gunston","Forward","Round 05 v Western Bulldogs","2909.37842","55.790000000000006","2","270.13721","6.76072","107.82597","31","0","1080.06006","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","0325dfcd-afd9-4feb-9006-dd13f41ca9e6","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"Jack Gunston","Forward","Round 05 v Western Bulldogs","2256.31006","78.83999999999999","2","215.69798","7.49181","115.7181","30","0","813.44","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","0325dfcd-afd9-4feb-9006-dd13f41ca9e6","409a7b10-d9b7-499a-8400-9b4d84931b66"
"Karl Amon","Hybrid","Round 05 v Western Bulldogs","3579.77002","238.76001","5","355.38599","7.21395","137.8841","43","0","1226.48999","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","036695b3-12e6-43fb-a153-0dea34fd7c41","96317651-73ea-4189-ad56-b300436c77bf"
"Karl Amon","Hybrid","Round 05 v Western Bulldogs","2956.33081","405.39998999999995","7","286.46771","7.47551","136.63733","30","0","967.70996","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","036695b3-12e6-43fb-a153-0dea34fd7c41","1eca8998-ad85-4884-b58b-cec022a7d190"
"Karl Amon","Hybrid","Round 05 v Western Bulldogs","4306.8252","595.79001","17","419.0451","7.68074","142.57627","50","0","1529.56006","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","036695b3-12e6-43fb-a153-0dea34fd7c41","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"Karl Amon","Hybrid","Round 05 v Western Bulldogs","2576.52734","249.65","8","256.46381","6.95076","134.74504","19","0","999.87","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","036695b3-12e6-43fb-a153-0dea34fd7c41","409a7b10-d9b7-499a-8400-9b4d84931b66"
"Mabior Chol","Hybrid","Round 05 v Western Bulldogs","2600.37231","374.69997","10","224.11636","8.6874","115.42077","26","0","753.27002","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","236a3ba1-a655-45e2-bcd2-6ad50b7c42fd","96317651-73ea-4189-ad56-b300436c77bf"
"Josh Ward","Hybrid","Round 05 v Western Bulldogs","3123.8479","337.86","11","303.04999","7.74877","148.1667","45","0","1177.77002","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","2794f857-7792-4f4b-b5fc-204ce195a191","96317651-73ea-4189-ad56-b300436c77bf"
"Josh Ward","Hybrid","Round 05 v Western Bulldogs","3485.44092","234.59000000000003","6","328.05914","6.8863","153.99478","45","0","1354.01001","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","2794f857-7792-4f4b-b5fc-204ce195a191","1eca8998-ad85-4884-b58b-cec022a7d190"
"Josh Ward","Hybrid","Round 05 v Western Bulldogs","4226.90088","379.44000000000005","11","401.49902","7.66892","153.86308","49","0","1697.42993","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","2794f857-7792-4f4b-b5fc-204ce195a191","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"Josh Ward","Hybrid","Round 05 v Western Bulldogs","3182.09229","277.19","8","297.70599","7.12683","142.68299","36","0","1261.42004","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","2794f857-7792-4f4b-b5fc-204ce195a191","409a7b10-d9b7-499a-8400-9b4d84931b66"
"James Sicily","Back","Round 05 v Western Bulldogs","3686.63062","304.96000000000004","9","322.88504","7.67956","120.34048","32","0","1352.88","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","29708cec-1d8a-451d-a7da-18fca9557adc","96317651-73ea-4189-ad56-b300436c77bf"
"James Sicily","Back","Round 05 v Western Bulldogs","2811.02588","179.06","5","243.34273","7.84079","117.43353","25","0","1126.71997","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","29708cec-1d8a-451d-a7da-18fca9557adc","1eca8998-ad85-4884-b58b-cec022a7d190"
"James Sicily","Back","Round 05 v Western Bulldogs","3707.33569","187.8","4","318.80472","6.88897","115.26232","47","0","1348.30005","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","29708cec-1d8a-451d-a7da-18fca9557adc","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"James Sicily","Back","Round 05 v Western Bulldogs","3176.97314","332.16","8","264.06253","8.10532","111.927","35","0","986.70996","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","29708cec-1d8a-451d-a7da-18fca9557adc","409a7b10-d9b7-499a-8400-9b4d84931b66"
"Blake Hardwick","Back","Round 05 v Western Bulldogs","3743.85693","330.07000999999997","9","354.06506","7.52082","127.98052","55","0","1277.44995","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","2ca83ae0-85a1-479e-bef1-d06af29b9200","96317651-73ea-4189-ad56-b300436c77bf"
"Blake Hardwick","Back","Round 05 v Western Bulldogs","3453.63306","325.25998999999996","8","314.56946","7.38311","127.01305","38","0","1188.27002","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","2ca83ae0-85a1-479e-bef1-d06af29b9200","1eca8998-ad85-4884-b58b-cec022a7d190"
"Blake Hardwick","Back","Round 05 v Western Bulldogs","3185.47925","265.16999999999996","13","294.98322","7.85523","128.78775","39","0","1105.46997","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","2ca83ae0-85a1-479e-bef1-d06af29b9200","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
"Blake Hardwick","Back","Round 05 v Western Bulldogs","3508.39551","318.78999999999996","9","309.9433","8.37902","112.75818","48","0","988.13","1866.8600001335144","9793cf60-b001-4db3-a818-956f19d7b23e","2ca83ae0-85a1-479e-bef1-d06af29b9200","409a7b10-d9b7-499a-8400-9b4d84931b66"
"Mitch Lewis","Back","Round 05 v Western Bulldogs","2674.19141","253.29999999999998","7","214.21793","7.11038","121.35833","41","0","734.39001","1838.0999999046326","9793cf60-b001-4db3-a818-956f19d7b23e","35159eb5-300f-48c1-b664-b6b12ef66fda","96317651-73ea-4189-ad56-b300436c77bf"
"Mitch Lewis","Back","Round 05 v Western Bulldogs","3251.18262","269.86","9","263.10947","7.84979","130.15577","45","0","1082.87","1631.4700000286102","9793cf60-b001-4db3-a818-956f19d7b23e","35159eb5-300f-48c1-b664-b6b12ef66fda","1eca8998-ad85-4884-b58b-cec022a7d190"
"Mitch Lewis","Back","Round 05 v Western Bulldogs","3055.41113","290.36999","7","251.64474","8.24558","122.20667","44","0","961.91003","1929.8599998950958","9793cf60-b001-4db3-a818-956f19d7b23e","35159eb5-300f-48c1-b664-b6b12ef66fda","02ec3d94-5fd9-4c7b-8a32-d2ba56c817cd"
